Tanggal dan Waktu,Debit
2026-07-26 04:00:00,29.67
2026-07-26 05:00:00,29.959999999999997
2026-07-26 06:00:00,29.959999999999997
2026-07-26 07:00:00,29.959999999999997
2026-07-26 08:00:00,29.959999999999997
2026-07-26 09:00:00,29.959999999999997
2026-07-26 10:00:00,29.959999999999997
2026-07-26 11:00:00,30.008333333333336
2026-07-26 12:00:00,29.959999999999997
2026-07-26 13:00:00,29.67
2026-07-26 14:00:00,29.67
2026-07-26 15:00:00,29.815
2026-07-26 16:00:00,30.201666666666668
2026-07-26 17:00:00,29.911666666666665
2026-07-26 18:00:00,29.53
2026-07-26 19:00:00,29.148333333333337
2026-07-26 20:00:00,29.05333333333333
2026-07-26 21:00:00,29.100000000000005
2026-07-26 22:00:00,29.245
2026-07-26 23:00:00,29.576666666666668
2026-07-27 00:00:00,29.67
2026-07-27 01:00:00,29.39
2026-07-27 02:00:00,29.39
2026-07-27 03:00:00,29.39
2026-07-27 04:00:00,29.100000000000005
2026-07-27 05:00:00,29.100000000000005
2026-07-27 06:00:00,29.05333333333333
2026-07-27 07:00:00,29.00666666666667
2026-07-27 08:00:00,29.100000000000005
2026-07-27 09:00:00,29.100000000000005
2026-07-27 10:00:00,29.245
2026-07-27 11:00:00,29.39
2026-07-27 12:00:00,29.39
2026-07-27 13:00:00,29.39
2026-07-27 14:00:00,29.39
2026-07-27 15:00:00,29.245
2026-07-27 16:00:00,29.100000000000005
2026-07-27 17:00:00,29.00666666666667
2026-07-27 18:00:00,28.820000000000004
2026-07-27 19:00:00,28.820000000000004
2026-07-27 20:00:00,29.05333333333333
2026-07-27 21:00:00,29.100000000000005
2026-07-27 22:00:00,29.100000000000005
2026-07-27 23:00:00,29.100000000000005
2026-07-28 00:00:00,29.100000000000005
2026-07-28 01:00:00,29.00666666666667
2026-07-28 02:00:00,28.820000000000004
2026-07-28 03:00:00,28.586666666666662
2026-07-28 04:00:00,28.679999999999996
2026-07-28 05:00:00,28.586666666666662
2026-07-28 06:00:00,28.540000000000003
2026-07-28 07:00:00,28.540000000000003
2026-07-28 08:00:00,28.540000000000003
2026-07-28 09:00:00,28.540000000000003
2026-07-28 10:00:00,28.45
2026-07-28 11:00:00,28.540000000000003
2026-07-28 12:00:00,28.540000000000003
2026-07-28 13:00:00,28.540000000000003
2026-07-28 14:00:00,28.540000000000003
2026-07-28 15:00:00,28.633333333333336
2026-07-28 16:00:00,28.77333333333333
2026-07-28 17:00:00,29.150000000000002
2026-07-28 18:00:00,29.19666666666667
2026-07-28 19:00:00,29.100000000000005
2026-07-28 20:00:00,29.721666666666668
2026-07-28 21:00:00,30.44333333333333
2026-07-28 22:00:00,30.540000000000003
2026-07-28 23:00:00,30.540000000000003
2026-07-29 00:00:00,30.346666666666664
2026-07-29 01:00:00,30.05666666666667
2026-07-29 02:00:00,29.67
2026-07-29 03:00:00,29.436666666666667
2026-07-29 04:00:00,29.245
2026-07-29 05:00:00,29.100000000000005
2026-07-29 06:00:00,29.100000000000005
2026-07-29 07:00:00,29.100000000000005
2026-07-29 08:00:00,29.100000000000005
2026-07-29 09:00:00,29.05333333333333
2026-07-29 10:00:00,28.913333333333338
2026-07-29 11:00:00,28.959999999999997
2026-07-29 12:00:00,28.959999999999997
2026-07-29 13:00:00,29.291666666666668
2026-07-29 14:00:00,29.67
2026-07-29 15:00:00,29.718333333333334
2026-07-29 16:00:00,29.67
2026-07-29 17:00:00,29.34166666666667
2026-07-29 18:00:00,29.05333333333333
2026-07-29 19:00:00,28.679999999999996
2026-07-29 20:00:00,28.223333333333333
2026-07-29 21:00:00,28.036666666666665
2026-07-29 22:00:00,28.36
2026-07-29 23:00:00,28.77333333333333
2026-07-30 00:00:00,28.820000000000004
2026-07-30 01:00:00,28.679999999999996
2026-07-30 02:00:00,28.586666666666662
2026-07-30 03:00:00,29.245
2026-07-30 04:00:00,30.05666666666667
2026-07-30 05:00:00,30.491666666666664
2026-07-30 06:00:00,30.83
2026-07-30 07:00:00,31.12
2026-07-30 08:00:00,30.974999999999998
2026-07-30 09:00:00,30.636666666666667
2026-07-30 10:00:00,30.540000000000003
2026-07-30 11:00:00,30.298333333333332
2026-07-30 12:00:00,29.959999999999997
2026-07-30 13:00:00,29.67
2026-07-30 14:00:00,29.67
2026-07-30 15:00:00,29.67
2026-07-30 16:00:00,29.436666666666667
2026-07-30 17:00:00,29.293333333333333
2026-07-30 18:00:00,28.959999999999997
2026-07-30 19:00:00,28.820000000000004
2026-07-30 20:00:00,28.820000000000004
2026-07-30 21:00:00,29.386666666666667
2026-07-30 22:00:00,30.008333333333336
2026-07-30 23:00:00,30.25
2026-07-31 00:00:00,30.25
2026-07-31 01:00:00,30.25
2026-07-31 02:00:00,30.201666666666668
2026-07-31 03:00:00,30.25
2026-07-31 04:00:00,30.25
2026-07-31 05:00:00,30.05666666666667
2026-07-31 06:00:00,30.008333333333336
2026-07-31 07:00:00,30.008333333333336
2026-07-31 08:00:00,30.25
2026-07-31 09:00:00,30.25
2026-07-31 10:00:00,30.733333333333334
2026-07-31 11:00:00,31.320000000000004
2026-07-31 12:00:00,31.570000000000004
2026-07-31 13:00:00,31.42
2026-07-31 14:00:00,31.27
2026-07-31 15:00:00,31.02333333333333
2026-07-31 16:00:00,30.73333333333333
2026-07-31 17:00:00,30.346666666666664
2026-07-31 18:00:00,29.959999999999997
2026-07-31 19:00:00,30.05666666666667
2026-07-31 20:00:00,30.685
2026-07-31 21:00:00,31.37
2026-07-31 22:00:00,31.42
2026-07-31 23:00:00,31.42
2026-08-01 00:00:00,31.42
2026-08-01 01:00:00,31.42
2026-08-01 02:00:00,31.42
2026-08-01 03:00:00,31.320000000000004
2026-08-01 04:00:00,31.07166666666667
2026-08-01 05:00:00,30.83
2026-08-01 06:00:00,30.83
2026-08-01 07:00:00,30.83
2026-08-01 08:00:00,30.83
2026-08-01 09:00:00,30.83
2026-08-01 10:00:00,30.83
2026-08-01 11:00:00,31.07166666666667
2026-08-01 12:00:00,31.02333333333333
2026-08-01 13:00:00,30.87833333333333
2026-08-01 14:00:00,30.636666666666667
2026-08-01 15:00:00,30.346666666666664
2026-08-01 16:00:00,30.44333333333333
2026-08-01 17:00:00,30.83
2026-08-01 18:00:00,31.27
2026-08-01 19:00:00,31.37
2026-08-01 20:00:00,31.12
2026-08-01 21:00:00,30.83
2026-08-01 22:00:00,30.540000000000003
2026-08-01 23:00:00,30.540000000000003
2026-08-02 00:00:00,30.540000000000003
2026-08-02 01:00:00,30.540000000000003
2026-08-02 02:00:00,30.540000000000003
2026-08-02 03:00:00,30.540000000000003
2026-08-02 04:00:00,30.540000000000003
